Unnamed: 0,id,book,book_num,chapter,chapter_num,character,full_text,character_words,writer,director,imdb_rating
7952,7952,Earth,2,The Tales of Ba Sing Se,15,Iroh,[Confused.] What are you doing?,What are you doing?,"Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7954,7954,Earth,2,The Tales of Ba Sing Se,15,Iroh,[Confused.] With that stance?,With that stance?,"Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7956,7956,Earth,2,The Tales of Ba Sing Se,15,Iroh,"[He shakes his head.] With a poor stance, you are unbalanced, and you can be easily knocked over. [He quickly grabs the arm of the mugger and disarms him, while pushing his attacker and knocking him to the ground. He smiles, while twirling the dagger in his hand, and helps Tycho to his feet.]","With a poor stance, you are unbalanced, and you can be easily knocked over.","Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7957,7957,Earth,2,The Tales of Ba Sing Se,15,Iroh,"[Hands the knife back to Tycho.] With a solid stance, you are a much more serious threat. [Iroh demonstrates a proper stance, which Tycho attempts to imitate, but is still not assuming the correct form. Iroh walks over to him and holds his head still while he adjusts the man's stance with a light kick.] Much better! But to tell you the truth, you do not look like the criminal type.","With a solid stance, you are a much more serious threat.  Much better! But to tell you the truth, you do not look like the criminal type.","Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7961,7961,Earth,2,The Tales of Ba Sing Se,15,Iroh,Of course!,Of course!,"Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7964,7964,Earth,2,The Tales of Ba Sing Se,15,Iroh,"[Smiling.] While it is always best to believe in oneself, a little help from others can be a great blessing.","While it is always best to believe in oneself, a little help from others can be a great blessing.","Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7966,7966,Earth,2,The Tales of Ba Sing Se,15,Iroh,"Happy birthday, my son. [Cut to his face, as he starts to cry.] If only I could have helped you. [He sings, but his voice cracks due to him crying.] Leaves from the vine, falling so slow. Like fragile, tiny shells, drifting in the foam. Little soldier boy, come marching home. Brave soldier boy, comes marching home.","Happy birthday, my son.  If only I could have helped you.  Leaves from the vine, falling so slow. Like fragile, tiny shells, drifting in the foam. Little soldier boy, come marching home. Brave soldier boy, comes marching home.","Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7969,7969,Earth,2,The Tales of Ba Sing Se,15,Aang,"[Kneeling on one knee and holding his hand out.] Hey there, fellow. You look hungry.","Hey there, fellow. You look hungry.","Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7972,7972,Earth,2,The Tales of Ba Sing Se,15,Aang,[Looking at a cage.] What kinda animal is that? [They both stop walking.],What kinda animal is that?,"Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7974,7974,Earth,2,The Tales of Ba Sing Se,15,Aang,[Smiling.] Let's do it!,Let's do it!,"Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7976,7976,Earth,2,The Tales of Ba Sing Se,15,Aang,There's a big open space right outside the walls of the city.,There's a big open space right outside the walls of the city.,"Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7978,7978,Earth,2,The Tales of Ba Sing Se,15,Aang,"Don't worry, I'm great with animals.","Don't worry, I'm great with animals.","Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7982,7982,Earth,2,The Tales of Ba Sing Se,15,Aang,[He scratches his head.] This was so much easier in my head.,This was so much easier in my head.,"Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
7990,7990,Earth,2,The Tales of Ba Sing Se,15,Aang,"Well, Mr. Zookeeper, how do you like your new facilities?","Well, Mr. Zookeeper, how do you like your new facilities?","Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
8000,8000,Earth,2,The Tales of Ba Sing Se,15,Sokka,What's this?,What's this?,"Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
8003,8003,Earth,2,The Tales of Ba Sing Se,15,Sokka,"[Looking pleased.] Ahh, poetry.","Ahh, poetry.","Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
8005,8005,Earth,2,The Tales of Ba Sing Se,15,Sokka,[Collecting himself and removing the window frame.] I am so sorry. Something struck me in the rear. I just ... wound up ... here.,I am so sorry. Something struck me in the rear. I just ... wound up ... here.,"Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
8008,8008,Earth,2,The Tales of Ba Sing Se,15,Sokka,"[Thinking for a moment.] They call me Sokka, that is in the Water Tribe. [Counting five syllables on his fingers.] I am not an oaf. [The ladies laugh at his haiku.]","They call me Sokka, that is in the Water Tribe.  I am not an oaf.","Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
8011,8011,Earth,2,The Tales of Ba Sing Se,15,Sokka,"You think you're so smart, with your fancy little words, this is not so hard.","You think you're so smart, with your fancy little words, this is not so hard.","Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
8015,8015,Earth,2,The Tales of Ba Sing Se,15,Sokka,"I calls it easy. Like I paddle my canoe, I'll paddle yours too! [Turns around and paddles his behind, as the ladies laugh.]","I calls it easy. Like I paddle my canoe, I'll paddle yours too!","Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
8017,8017,Earth,2,The Tales of Ba Sing Se,15,Sokka,"[Making arm movements.] Squish, squash, sling that slang. I'm always right back at ya, like my ... [He draws his boomerang.] boomerang! [The class laughs.]","Squish, squash, sling that slang. I'm always right back at ya, like my ...  boomerang!","Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
8019,8019,Earth,2,The Tales of Ba Sing Se,15,Sokka,"[Making more arm movements.] That's right, I'm Sokka, it's pronounced with an ""okka"", young ladies, I rocked ya!","That's right, I'm Sokka, it's pronounced with an ""okka"", young ladies, I rocked ya!","Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
8023,8023,Earth,2,The Tales of Ba Sing Se,15,Sokka,Poetry ...,Poetry ...,"Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
8025,8025,Earth,2,The Tales of Ba Sing Se,15,Zuko,"Uncle, we have a problem. [Iroh descends from the ladder.] One of the customers is on to us. Don't look now but there is a girl over there at the corner table. [Cut to a shot of a girl sitting in the corner of the shop, drinking tea.] She knows we're Fire Nation. [Iroh looks at the girl, but is quickly pulled back by Zuko.] Didn't I say don't look?!","Uncle, we have a problem.  One of the customers is on to us. Don't look now but there is a girl over there at the corner table.  She knows we're Fire Nation.  Didn't I say don't look?!","Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
8026,8026,Earth,2,The Tales of Ba Sing Se,15,Iroh,"[Cut to a shot of the girl.] You're right, Zuko. I've seen that girl in here quite a lot. Seems to me she has quite a little crush on you.","You're right, Zuko. I've seen that girl in here quite a lot. Seems to me she has quite a little crush on you.","Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
8027,8027,Earth,2,The Tales of Ba Sing Se,15,Zuko,[Bewildered.] What?,What?,"Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
8029,8029,Earth,2,The Tales of Ba Sing Se,15,Zuko,[Turning back.] My name's Lee. My uncle and I just moved here.,My name's Lee. My uncle and I just moved here.,"Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
8031,8031,Earth,2,The Tales of Ba Sing Se,15,Iroh,[Before the stunned Zuko can respond.] He'd love to!,He'd love to!,"Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
8035,8035,Earth,2,The Tales of Ba Sing Se,15,Zuko,[He stops Jin from ruffling his hair.] It took my uncle ten minutes to do my hair.,It took my uncle ten minutes to do my hair.,"Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
8038,8038,Earth,2,The Tales of Ba Sing Se,15,Zuko,It's okay.,It's okay.,"Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
8040,8040,Earth,2,The Tales of Ba Sing Se,15,Zuko,Nothing.,Nothing.,"Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
8042,8042,Earth,2,The Tales of Ba Sing Se,15,Zuko,"[He yells in an assertive tone, pounding the table.] She is not my girlfriend!",She is not my girlfriend!,"Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
8044,8044,Earth,2,The Tales of Ba Sing Se,15,Zuko,You have ... quite an appetite for a girl. [He fiddles his thumbs awkwardly.],You have ... quite an appetite for a girl.,"Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
8046,8046,Earth,2,The Tales of Ba Sing Se,15,Zuko,"Umm ... well, we've been traveling around for a long time.","Umm ... well, we've been traveling around for a long time.","Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
8048,8048,Earth,2,The Tales of Ba Sing Se,15,Zuko,"We were ... uh, part of this traveling circus.","We were ... uh, part of this traveling circus.","Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
8050,8050,Earth,2,The Tales of Ba Sing Se,15,Zuko,"[Zuko folds his arms and looks annoyed.] Yes, I juggled.","Yes, I juggled.","Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
8053,8053,Earth,2,The Tales of Ba Sing Se,15,Zuko,I haven't practiced for a while. [Wipes the pieces of the objects from his hair.],I haven't practiced for a while.,"Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
8060,8060,Earth,2,The Tales of Ba Sing Se,15,Zuko,"Close your eyes, and don't peek.","Close your eyes, and don't peek.","Joann Estoesta, Lisa Wahlander, Andrew Huebner, Gary Scheppke, Lauren MacMullan, Katie Mattila, Justin Ridge, Giancarlo Volpe, Elizabeth Welch Ehasz (story editor), John O'Bryan (story editor)",Ethan Spaulding,9.2
